bAon04ZJhHE,Season 21 Preview: White People Renovating Houses,South Park Studios,20,[none],182676,3752,165,1163,https://i.ytimg.com/vi/bAon04ZJhHE/default.jpg,13.09
aZkqHx5uri4,Can You Assume Sexuality Based on a First Impression? | Tell My Story,SoulPancake,24,soulpancake|soulpancake channel|soul pancake|rainn wilson|kid president|kid president pep talk|clouds by zach sobiech|how to|tutorial|review|workout|inspirational|tell my story|blind date|dating game show|dating show|lgbtq|lgbt|lgbtqia|demi sexual|what is a sexual|what is pan sexual|bi sexual|african american|pentatonix|beatbox|acapella|sing-off|ptxofficial|harmony|ptx,332176,14279,626,1927,https://i.ytimg.com/vi/aZkqHx5uri4/default.jpg,13.09
gmXuUgB7T3Y,Try-On FALL HAUL! Fashion + Drugstore Makeup | Ingrid Nilsen,Ingrid Nilsen,26,Try-On FALL HAUL! Fashion + Drugstore Makeup | Ingrid Nilsen|missglamorazzi|ingrid nilsen|fall haul|fall fashion|fall makeup|drugstore makeup|zara|aritzia|fashion haul,185928,6156,129,320,https://i.ytimg.com/vi/gmXuUgB7T3Y/default.jpg,13.09
fCh5TVGaTSg,Tracking Hurricane Irma 9/11,CBS Miami,25,Weather|Lissette Gonzalez|Hurricane Irma,91229,270,62,211,https://i.ytimg.com/vi/fCh5TVGaTSg/default.jpg,13.09
TDskW3JvTAY,ANVIL Vs. WATERMELON PYRAMID! (CRAZY 45m DROP TESTS),How Ridiculous,17,anvil|vs|Spray Paint Cans|Spray Paint|Spray|Paint|45m|Tower|Drop|Test|Drop Test|Dude|Perfect|cans|can|amazing|epic|Slow Motion|Wow|Incredible|funny|Hilarious|Crazy|Gingin|Gingin Discovery Centre|Perth|Western Australia|Australia|how ridiculous|how|ridiculous|experiment|anvil experiment|anvil watermelon|watermelon|best experiment|insane|45m tower|trick shots|trickshots|trick,277903,13343,212,6348,https://i.ytimg.com/vi/TDskW3JvTAY/default.jpg,13.09
7Ag2oDIeLvo,1976 Buick Skyhawk Commercial,OsbornTramain,22,1976 Buick Skyhawk Commercial|1976|Buick|Skyhawk|chevy monza|werbung|commercial|advert|promo|pub|spot|ads|publicidad|publicitta|publicite|propaganda,1712,15,0,4,https://i.ytimg.com/vi/7Ag2oDIeLvo/default.jpg,13.09
XovZ04gmQgE,Hailee Steinfeld & Alesso (ft. Florida Georgia Line & watt) - Let Me Go (Official Audio),Hailee Steinfeld,22,[none],316616,10084,104,331,https://i.ytimg.com/vi/XovZ04gmQgE/default.jpg,13.09
Lv5DFKceFac,Thomas Rhett - Sweetheart (Static Video),ThomasRhettVEVO,10,Thomas|Rhett|Sweetheart|Valory|Country,376381,8909,170,334,https://i.ytimg.com/vi/Lv5DFKceFac/default.jpg,13.09
3qVHkOOyD5s,"Demi Lovato performing 'With A Little Help From My Friends' at Hand In Hand - September 12, 2017",Demi Lovato News,22,demi lovato|brad paisley|cece winans|darius rucker|with a little help from my friends|hand in hand|the beatles,53673,1208,45,118,https://i.ytimg.com/vi/3qVHkOOyD5s/default.jpg,14.09
HcNcOnIkQQU,Imagine Dragons - Whatever It Takes (360 Version/Lyric Vide​o),ImagineDragonsVEVO,10,Imagine|Dragons ImagineDragons Whatever|it|takes 360 360|video Believer Dan|Reynolds Radioactive Thunder Demons I|bet|my|life Smoke|mirrors Smoke|and|mirrors Dragons|music Imagine|music Imaginedragonsmusic Evolve,478747,54551,306,3702,https://i.ytimg.com/vi/HcNcOnIkQQU/default.jpg,14.09
bAon04ZJhHE,Season 21 Preview: White People Renovating Houses,South Park Studios,20,[none],219849,3905,181,1329,https://i.ytimg.com/vi/bAon04ZJhHE/default.jpg,14.09
